fpr,tpr,threshold
0.0033333333333333335,0.5766666666666667,0.9984489679336548
0.0033333333333333335,0.5893333333333334,0.9983561635017396
0.0033333333333333335,0.5906666666666667,0.9983558058738708
0.0033333333333333335,0.62,0.9980448484420776
0.004,0.62,0.9980317950248718
0.004,0.7666666666666667,0.9952438473701476
0.004,0.768,0.9951736330986024
0.004,0.9246666666666666,0.9725672006607056
0.004666666666666667,0.9246666666666666,0.9723314642906188
0.004666666666666667,0.948,0.9551512002944946
0.005333333333333333,0.948,0.9548469185829164
0.005333333333333333,0.976,0.8991017937660217
0.006,0.976,0.897723913192749
0.006,0.992,0.7545902729034424
0.01,0.992,0.7156302332878113
0.01,0.9946666666666667,0.6611811518669128
0.010666666666666666,0.9946666666666667,0.5591157674789429
0.010666666666666666,0.996,0.4859984815120697
0.011333333333333334,0.996,0.4513106942176819
0.011333333333333334,0.9966666666666667,0.4195746779441833
0.012666666666666666,0.9966666666666667,0.3892104029655456
0.012666666666666666,0.9973333333333333,0.3806797564029693
0.014666666666666666,0.9973333333333333,0.2288641482591629
0.014666666666666666,0.998,0.2194787859916687
0.015333333333333332,0.998,0.1570279747247696
0.015333333333333332,0.9986666666666667,0.1455234736204147
0.023333333333333334,0.9986666666666667,0.0408660545945167
0.023333333333333334,0.9993333333333333,0.0393395945429801
0.059333333333333335,0.9993333333333333,0.0036324367392808
0.059333333333333335,1.0,0.0034676324576139
1.0,1.0,2.65435002310116e-23
